"No.","Time","Source","Destination","Protocol","Length","Differentiated Services Field","Info"
"1","0.000000000","10.10.10.1","10.10.10.3","TCP","54","0x31","36609  >  2222 [SYN] Seq=0 Win=1480 Len=0"
"4","1.069186632","10.10.10.1","10.10.10.3","TCP","54","0x78","13824  >  2222 [SYN] Seq=0 Win=1480 Len=0"
"7","2.106240320","10.10.10.1","10.10.10.3","TCP","197","0x73","56926  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"10","3.170708833","10.10.10.1","10.10.10.3","TCP","197","0x7a","13252  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"13","4.227487822","10.10.10.1","10.10.10.3","TCP","197","0x78","39568  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"18","5.282988074","10.10.10.1","10.10.10.3","TCP","197","0x78","19366  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"23","6.340809659","10.10.10.1","10.10.10.3","TCP","68","0x73","57655  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"26","7.398173204","10.10.10.1","10.10.10.3","TCP","89","0x73","9812  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"29","8.465708661","10.10.10.1","10.10.10.3","TCP","153","0x78","51196  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"32","9.510216179","10.10.10.1","10.10.10.3","TCP","150","0x2a","38152  >  2222 [SYN] Seq=0 Win=1480 Len=96"
"35","10.573055390","10.10.10.1","10.10.10.3","TCP","68","0x76","32952  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"38","11.616624686","10.10.10.1","10.10.10.3","TCP","83","0x78","42128  >  2222 [SYN] Seq=0 Win=1480 Len=29"
"41","12.672934466","10.10.10.1","10.10.10.3","TCP","531","0x2a","56827  >  2222 [SYN] Seq=0 Win=1480 Len=477"
"44","13.722107278","10.10.10.1","10.10.10.3","TCP","89","0x7f","18911  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"47","14.771110739","10.10.10.1","10.10.10.3","TCP","68","0x70","58858  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"50","15.819960930","10.10.10.1","10.10.10.3","TCP","89","0x72","36846  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"53","16.867913870","10.10.10.1","10.10.10.3","TCP","153","0x7c","1405  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"56","17.925380713","10.10.10.1","10.10.10.3","TCP","153","0x7d","5705  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"59","18.978268752","10.10.10.1","10.10.10.3","TCP","153","0x21","56885  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"62","20.027084113","10.10.10.1","10.10.10.3","TCP","153","0x28","10568  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"65","21.071982651","10.10.10.1","10.10.10.3","TCP","197","0x2f","10355  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"68","22.128120633","10.10.10.1","10.10.10.3","TCP","197","0x2e","19085  >  2222 [SYN] Seq=0 Win=1480 Len=143"
"71","23.188132763","10.10.10.1","10.10.10.3","TCP","153","0x70","63586  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"74","24.237656630","10.10.10.1","10.10.10.3","TCP","153","0x7f","16636  >  2222 [SYN] Seq=0 Win=1480 Len=99"
"77","25.303102907","10.10.10.1","10.10.10.3","TCP","89","0x28","25475  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"80","26.353941205","10.10.10.1","10.10.10.3","TCP","89","0x2c","21711  >  2222 [SYN] Seq=0 Win=1480 Len=35"
"83","27.407121365","10.10.10.1","10.10.10.3","TCP","68","0x25","45404  >  2222 [SYN] Seq=0 Win=1480 Len=14"
"86","28.473110151","10.10.10.1","10.10.10.3","TCP","83","0x7c","50432  >  2222 [SYN] Seq=0 Win=1480 Len=29"
